artista,musica,tom,sequencia
agepe,deixa-eu-te-amar,C,Am;A7;Dm;E7;Bm7(b5);E;Am;E7;Am;A7;Dm;Bm7(b5);E7;Am;A7(b13);A7;Dm;E7;Am;C;Bm7(b5);E7;Am;A7(b5);A7;Bm7(b5;E7;Am;A7;Dm;E7;Bm7(b5);E7;Am;E7;Am;A7;Dm;E7;Am;Bm7(b5);E7;Em;A7;Dm;Am;Bm7(b5);E7;Am;A7;Dm;E7;Am;C;Bm7(b5);E7;Am
alceu-valenca,anunciacao,C,G;Am;C;G;G;Am;C;G;Am;C;G;G7;Em7;F;C;G;Am;C;G;Am;C;G
alceu-valenca,girassol,C,C;Em;C;Em;C;Em;C;Em;C;Em;Am;Em;F;G;C;C;Em;Am;Em;Am;Em;F;Em;F;G;C;C;Em;C;Em;C;Em
alceu-valenca,la-belle-du-jour,C,C;Em;C;Em;C;Em;C;Em;Am;Em;Am;Em;F;G;C;Em;C;Em;C;Em;C;Em;C;Em;C;Em;Am;Em;F;G;C;Em;C;Em;C;Em;C;Em;Am;Em;F;G;C;Am;Em;Am;Em;Am;Em;F;Em;F;G;C;Em;C;Em;C;Em;C;Em;Am;Em;Am;Em;F;G;C;Em;C;Em;C;Em;C;Em;Am;Em;F;G;C;Em;C;Em;C;Em;C;Em;Am;Em;F;G;C;Am;Em;Am;Em;Am;Em;F;Em;F;G;C;Em;C;Em;C;Em;C;Em;C;Em;C;Em;C;F;G;F;F;G
alceu-valenca,morena-tropicana,D,Bm;F#m;Em;F#7;Bm;Bm;F#m;Em;F#7;Bm;F#m;Em;F#7;Bm;A;G;D;A;G;D;C#m7(b5);F#7;Bm;Bm/F#;C#m7(b5);F#7;Bm;Bm;F#m;Em;F#7;Bm
alcione,nao-deixe-samba-morrer,D,Bm;C#m7/b5;F#7;Bm;B7;Em;Em/D;C#m7/b5;F#7;Bm;Em;A;D7+;G7+;C#m7/b5;F#7;Bm;Em;A;D7+;C#m7/b5;B7;Em;A;D7+;C#m7/b5;B7;Em;A;D7+;Bm;G;F#7;Bm;B7;F#7;Bm;B7;Em;Em/D;C#m7/b5;F#7;Bm;C#m7/b5;F#7;Bm
alcione,quem-de-nos,A,A;C#7;F#m;Em;A7;D;Dm;A;F#7;Bm;E7;A;E7;A;C#7;F#7;Em;A7;D;Dm;A;F#7;B7;E7;Am;A7;Dm;E7;Am;E7;Am;A7;Dm;A;E7;A
alcione,retalhos-de-cetim,C,Am7;Em;Am;Em;Am;C;F;F#°;E;Am;Em;Am;Em;Am;C;F;F#°;E;A;A7+/G#;A7/G;F#7;Bm;F7;E4;E;A;C;F;Dm;E7;Am;E7;Am;Em;Am;Em;Am;C;F;F#°;E;A;A7+/G#;A7/G;F#7;Bm;F7;E4;E;A;C;F;Dm;E7;A;E7;A;A7+/G#;A7/G;F#7;Bm;F7;E4;E;A;C;F;Dm;E7;A;E7;A;A7+/G#;A7/G;F#7;Bm;F7;E4;E;A;C;F;Dm;E7;A;E7
alexandre-pires,cigano-ao-vivo,G,G;C;D/F#;G;C;G;C;G/B;Am7;Am7/G;D;Ebº;Em;Em6;Em;A7;C;G/B;Am;C;C;B7;Em;Em;D;C;C;B7;Em;Em;D;C;C;B7;Em;Em;D;C;D7;G;C;D;G;C;G;C;G/B;Am;Am7/G;D;Ebº;Em;Em6;Em;A7;C;G/B;Am;C;C;B7;Em;Em;D;C;C;B7;Em;Em;D;C;C;B7;Em;Em;D;C;D7;G
alexandre-pires,delirios-de-amor,A#,Cm;Fm;Cm;Fm;G5+/7;Cm;G7;C7;Fm;Bb7;Bb7/13;Eb;D7;G7;G5+/7;Cm;G7;C7;Fm;Bb7;Bb7/13;Eb;D7;G7;G7/4;C;G;G#º;Am7;E7;F7+;F#º;C;A7;D7;Gm7;G7;C;G;G#º;Am7;E7;F7+;F#º;C;A7;D7;G7;C;G7/5+
