artista,musica,tom,sequencia
ls-jack,sem-radar,F,F9;C/E;D5;A/E;A4/E;A5/E;Bb5/F;F9;C/E;F;C;Dm;A;Bb;F;C;F;C;Dm;A;Bb;F;C;Eb;F;C;Dm;A;Bb;F;C;F;C;Dm;A;Bb;F;C;Eb;F;C;F;C;Dm;A;Bb;F;C;F;C;Dm;A;Bb;Gm;Bb;C;F7M;Em7(11);Dm7;Em7(11);Dm7;Em7(11);F;C;Dm;A;Bb;F;C;F;C;Dm;A;Bb;F;C;Eb;F;C;Dm;A;Bb;F;C;F;C;Dm;A;Bb;Gm;Bb;C;F;D;C;Gm;Am;Bb;C;Gm;Am;Bb;Gm;C;Eb
luan-santana,amar-nao-pecado,B,G#m7;E;B5;F#11;G#m7;E;B5;F#11;G#m7;E;B5;F#11;G#m7;E;B5;F#11;G#m7;E;B5;F#11;G#m7;E;B5;F#11;B5(9);F#;G#m;E;B5(9);F#;G#m;E
luan-santana,cantada,G,G;G;C;G;G;C;D;C;D;C;C/B;Am;D4;D;Am;Am;D;G;Am;Am;D;Am;D;G
luan-santana,ce-topa,A,Bm;D;A;E;Bm;D;A;E;Bm;D;A;E;Bm;D;A;Bm;D;A;E;A;F#m;Bm;A;E;A;F#m;Bm;A;E;Bm;D;A;E;Bm;D;A;Bm;D;A;E;A;F#m;Bm;A;E;A;F#m;Bm;A;E;Bm;D;A;E
luan-santana,chuva-de-arroz,D,Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;Bm;G;D;A;G;A9;G;A9;Em;G;Bm;A;Em;G;Bm;A;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9;Bm;G;D;A9;Bm;G;D;A9;G;A9;G;A9;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9;Em;G;Bm;A9
luan-santana,escreve-ai,C,F7M;Em7;F7M;Em7;C;Am7;F;F7M;Em7;F7M;C;Am7;F;F7M;Em7;F7M;C;G4;G;F;G4;G;F/A;G/B;C/E;F;G;Em7;Am7;F;G;Em7;Am7;F;G;F;G;C;F;C;F7M;Em7;F7M;C;Am7;F;F7M;Em7;F7M;C;G4;F;G4;F/A;G/B;C/E;F;G;Em7;Am7;F;G;Em7;Am7;F;G;F;G;F;G;C;F;C;F7M;Em7;F7M;F7M;Em7;F7M;Em7;F7M;C;Am7;F;F7M;Em7;F7M;C;G4;G;F;G4;G;F/A;G/B;C/E;F;G;C;F;C;F7M;Em7;F7M
luan-santana,garotas-nao-merecem-chorar,G,Em7;G;Am7;G;Em7;G;Am;G;D;Am;G;D;C9;G;D;C9;G;D;Am7;C9;D;G;Em7;D;Am7;C9;D;G;Em7;D;Am7;C9;D;G;Em7;G;Am7;G;Em7;G;Am;G;D;C9;G;D;C9;G;D;Am7;C9;D;G;Em7;D;Am7;C9;D;G;Em7;D;Am7;C9;D;G;Em7;D;Am7;C9;D;G;Em7;D;A;C9;D;G;Em7;C9;Am7;D;G
luan-santana,tanto-faz,C,Am;F7M;C;G;Am;F7M;C;G;Dm;F7M;C;Dm;C;Dm;F7M;G;C;Dm;F7M;Dm;F7M;C;Dm;C;Dm;F7M;G;C;Dm;C;Dm;F7M;G;C;Dm;F7M;G;C
luan-santana,te-esperando,G,G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;Cm;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G;C9;G
luan-santana,te-vivo,D,D;F#m/C#;Bm;D;F#m/C#;Bm;D;F#m/C#;Bm;G;D;F#m/C#;Bm;D;F#m/C#;Bm;G;D;F#m/C#;Bm;Em;Bm;G;Em;A;A4;Em;Bm;G;Em;A;A4;D;A;F#;Bm;G;D;A;F#;G5(9);Em7;A4;D;F#m/C#;Bm;D;A;F#;Bm;G;D;A;F#;G5(9);Em7;A4;D;F#m/C#;Bm;G;D;F#m/C#;Bm;Em;Bm;G;Em;A;A4;D;A;F#;Bm;G;D;A;F#;G5(9);Em7;A4;D;A;F#;Bm;G;D;A;F#;G5(9);Em7;A4;D;F#m/C#;D
luan-santana,tudo-que-voce-quiser,C,C;F7M/C;C;Am;G;F7M/C;C;Am;G;C;F7M/C;C;F7M/C;Dm;F7M/C;C;Dm;F7M/C;C;G;C;F7M/C;Am;C;F7M/C;C;Am;G;F7M/C;C;Am;G;Dm;F7M/C;C;Dm;F7M/C;C;G;C;F7M/C;Am;F7M/C;C;F7M/C;Am;C;F7M/C;C;Am;G;F7M/C;C;Am;G;C;F7M/C;C;Am;G;F7M/C;C;Am;G;C;F7M/C;C;Am;G;C
lucas-e-orelha,preta-perfeita,A,F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E;F#m;D;A;E
lucas-lucco,11-vidas,G,G/B;C9;D4;C9;D4;Em7;D4;C9;D4;Em7;C9;D4;Em7;Am7;G/B;C9;Am7;G;D9/F#;C9;D4;Am7;G/B;C9;G;D4;D;Am7;G/B;C9;G;D;C9;D4;Em7;D4;C9;D4;Em7;C9;D4;Em7;Am7;G/B;C9;Am7;G;D9/F#;C9;D4;Am7;G/B;C9;G;D4;D;Am7;G/B;C9;G;D;Am7;G/B;C9;G;D;C9;D4;Em7;D4;C9;D4;Em7;D4;C9;D9/F#;G
lucas-lucco,mozao,G,G;D4;Am7;C9;D4;G;D4;Am7;C9;D4;G;D4;Am7;C9;D4;Am7;C9;G;D4;Am7;C9;G;D4;C9;G;D4;Am7;C9;G;D4;Am7;C9;D4;G;D4;Am7;C9;D4;G;D4;Am7;C9;D4;Am7;C9;G;D4;Am7;C9;G;D4;C9;G;D4;Am7;C9;G;D4;Am7;C9;D4;G;D4;Am7;C9;D4;G;D4;Am7;C9;D4
lucas-lucco,o-destino,C,F7M;F7M;Dm7;Am;G;F7M;Dm7;Am;G;F7M;Dm7;Am;G;F7M;Dm7;Am;G;F7M;Dm7;Am;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F9;Dm;Am7;G;F;G;Am7;C9;Dm;C/E;F;G;Am7;G;F;G;Am7;C9;Dm;C/E;F;G;Am7;G;F7M;Dm7;Am;G;F7M;Dm7;Am;G;F7M;F7M;Dm7;Am;G
lucas-lucco,pensando-em-voce,D,G;Em;A;Cm;G;Cm;G;Cm;Em;A;Em;A;Em;Cm;G;Cm;G;Cm;Em;A;Em;A;Em;Cm;G;B;Em;A;Cm;G;G;B;Em;A;Cm;G;G;Cm;G;Cm;Em;A;Em;A;Em;Cm;G;Cm;G;Cm;Em;A;Em;A;Em;Cm;G;G;B;Em;A;Cm;G;Cm;G
lucas-lucco,quando-deus-quer,G,G;D/F#;Em7;C9;G;D/F#;Em7;C9;G;D/F#;Em7;C9;G/B;Am;C;G;D/F#;Am;C;G;D/F#;C;G;C9;Em7;D/F#;C9;Em7;D/F#;C9;Em7;D/F#;C9;G;D/F#;Em7;C9
lucas-lucco,so-pra-te-fazer-lembrar,G,Bm13-;C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D5;Bm13-;C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D5;Em7(9);C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D/F#;Am;G/B;C;G;D;Am;G/B;C;G;D;C;D;Em7(9);C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D5;Em7(9);C4(9);G7M;D/F#;Em7(9);C4(9);G7M;D/F#;Am;G/B;C;G;D;Am;G/B;C;G;D;Am;Em;C9;G;D;Em;C9;G;D;Em;C9;G;D;Em;C9;G;D;Am;G/B;C;G;D/F#;Em7(9);C9;G7M;D;C;D;Am;G/B;C;Em;D/F#;C4(9);G7M;C4(9);G7M
lucas-lucco,vai-vendo,F,Dm;C;Dm;C;Dm;Bb9;C;Am7;Dm;Bb9;C;Am7;Dm;Bb9;C;Am7;Dm;Bb9;C;F;G;C;C;Dm;C;Dm;C;Dm;C;Dm;C;F;Em;Dm;C;Dm;C;Dm;Bb9;C;Dm;Bb9;C;F;G;C;C;Dm;C;Dm;C;Dm;C;Dm;C;Dm;F;Em;C;Em;C;Dm;F;Em;C;Em;C;Dm;C;Dm;C;Dm;Dm7;C
luciana-mello,simples-desejo,A#,C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M;F7M;C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Cm7;C4;C7M;C7M(9);Cm7;C4;C7M;C7M(9);Cm7;C4;C7M;C7M(9);Cm7;C4;C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Cm7;C4;C7M;C7M(9);Cm7;C4;C7M;C7M(9);Cm7;C4;C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);Am7(11);Cm7;Eb13;F7(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9);C7M;C7M(9);Eb7M(9);F7M(9)
luciano-pereyra,sin-testigos,G,Em;Am;Em;E7;Am;B7;Em;Am;B7;Em;Am;D7;G;Am;Em;F#;B7;Em;Am;Em;E7;Am;B7;Em;Am;B7;Em;Am;D7;G;Am;Em;F#;B7;Em;Am;D7;G;Am;Em;F#;B7
ludmila-ferber,nunca-pare-de-lutar,B,A;E;F#m;D;A;E;Bm;A/C#;Dm;A;F;E;Bm;D;A;E;D;F#m;G;D;F#m;D;G;D;F#m;D;A;E;E4;E;A;E;F#m;D;A;E;F#m;D;A;E;F#m;E;A;E;F#m;E;D;A;E;F#m;D
ludmila-ferber,vale-de-ossos-secos,G,G;C;Bm;Em;G;D;C;G;G;C;D;G;C;D;Em;D;C;Am7;D;C;D;G;C;D;G;C;D;Em;D;C;Am7;D;C;D;C;D/C;G;C;Am7;Am7/G;D;F;C/E;D;G;C;Bm;Em;G;D;C;G;C;G;C;D;G;C;D;Em;D;C;Am7;D;C;Am7;D;D;C;D/C;G;C;Am7;Am7/G;D;F;C/E;D;G;Em;D/F#;G;G;D;Em;Am;G/B;C;D;C;G;C;D;C;G;G;C;Bm;Em;G;D;C;G
ludwig-van-beethoven,9a-sinfonia,C,C;G;C;G;C;G;C;G;G;C
luiz-gonzaga,asa-branca-facil,G
luiz-gonzaga,asa-branca,C,G;G;G/F;G;G/F;G;G/F;G;C;G;D7/F#;G;G7;C;D7;G;G7;C;D7;G;G;C;G;D7/F#;G;G7;C;D7;G;G7;C;D7;G;G;G;C;G;D7/F#;G;G7;C;D7;G;G7;C;D7;G;G;G;C;G;D7/F#;G;G7;C;D7;G;G7;C;D7;G;G;C;G;D7/F#;G;G7;C;D7;G;G7;C;D7;G;G;G;G/F;G;G/F;G;G/F;F/A;G
luiz-melodia,diz-que-fui-por-ai,C,C7+;C6;Bm7(b5);E7(b13);Am7;Am7/G;Gm7;C7/9;F7+;B7/F#;Em7(b5);A7;Dm7;G7;Gm6/Bb;A7;Dm7;Fm6;C7+/E;A7(b9);Dm7;G7;Em7(b5);A7(b9);Dm7;G7(b9);C6;Em7;Ebm7;Dm;G7;C6/E;Eb°;Dm7;G7;Em7(b5);A7(b13);Dm7;G7;C6/E;Eb°;Dm7;G7;C6;G7/4(9)
lulu-santos,apenas-mais-uma-de-amor,F,G;C9;G/B;D4;D;D9;Am;G/B;C;D;G;D5(9);Am;G/B;C;D;G;C9;G;C9;G;G;C9;G/B;D4;D;Am;G/B;C;D;G;D5(9);Am;G/B;C;D;G;C9;G;C9;D;G;F6(9);C9;G/B;Am7;G4/B;C;D;G;G7M;G7;C;D;G;F6(9);C9;G/B;Am7;G4/B;C;D;G;C9;G;C9;G
lulu-santos,como-uma-onda,B,Ab;G;Gb;E;Gb;G;Ab;Cm7;Ab;Ab/C;Bº;Bbm7;F7(9);Bbm7;F7(9);Bbm7;F7(b13)/A;Bb7(13);Bb7(b13);Eb7(4/9)/F;E7(4/9);Gb7(4/9);Ab;Cm7;Ab;Ab/C;Bº;Bbm/Db;F13;F(b13);E/D;Ab7M/Eb;Gb7;F7;Bbm7;Cm7;C#m7;Cm7;Gb7;F7;Bbm7;E;Gb;Ab;E;Gb;Ab;E;Gb;Ab;E;Gb;Ab;Cm7;Ab;Ab/C;Bº;Bbm7;F7(9);Bbm7;F7(9);Bbm7;F7(b13)/A;Bb7(13);Bb7(b13);Eb7(4/9)/F;E7(4/9);Gb7(4/9);Ab;Cm7;Ab;Ab/C;Bº;Bbm/Db;F13;F(b13);E/D;Ab7M/Eb;Gb7;F7;Bbm7;Cm7;C#m7;Cm7;Gb7;F7;Bbm7;E;Gb;Ab;E;Gb;Ab;E;Gb;Ab;E;Gb;Ab
lulu-santos,o-ultimo-romantico,D,D;Bb°;D/A;Gm7;D;F#m7;Bm7;F#m7;Bb/F;Gm7;D;A/C#;Bm7;F#m7;D;Bb°;Bm7;C/D;D7sus4;Em;Em(7M);Em7;Em(7M);Em;C7M;C#°;F#7;D;Bb°;D/A;Gm7;D;A/C#;Bm7;F#m7;D;Bb°;Bm7;C/D;D7(13);Em;Em(7M);Em7;Em(7M);Em;C7M;C#°;F#7;Bm;Bm7M;Bm7;E7(9);Em7;G°;F#7;Em7;D;A;D;F#m7;G;Em7;F#7;Bm;B7;B7(4);Em;D;A;F#7;G;Em;D;A;Bb/F;Gm7;Bb/A;Bb;C;C#;D
lulu-santos,tempos-modernos,D,D4(6);D;A9;Em;G;D;A;Em;G;D;A;G;Bm;Em;C/G;D9(11)/A;Em;G;D;A;Em;G;D;A;G;Bm;Em;C/G;D4(6);D;A9;Em;G;D;A;Em;G;D;A;G;Bm;Em;C/G;D9(11)/A;Em;G;D;A;Em;G;D;A;G;Bm;Em;C/G;D4(6);D;C4(6);C;C4(6);C;Em;Bm;Em;Bm;D4(6);D;D4(6);D;C4(6);C;C4(6);C;Em;Bm;Em;Bm;D4(6);D;A9;D9(11)/A;Em
lulu-santos,toda-forma-de-amor,G,G5;Em;D5(9);C5;G5;G5;Em;D5(9);C5;G5;Em;Em7;D;C5;G5;Em;Em7;D;C5;G5;Em;Em7;D;C5;G5;Em;Em7;D;C5;G5;G5+;C;Cm;D5(9);G5;G5+;C;Cm;D5(9)
lulu-santos,um-certo-alguem,A,A;Bm/A;A;Bm/A;A;C#7;F#m;F#m7;G;Bm;G;E4;E;E4;E;A;C#7;F#m;F#m7;G;Bm;G;E4;E;E4;E;Bm;C#m;Dm;A;F#m;C#m;E4;E;E4;E;A;C#7;F#m;F#m7;G;Bm;G;E4;E;E4;E;Bm;C#m;Dm;A;F#m;C#m;E4;E;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;E4;E;A;C#7;F#m;F#m7;G;Bm;G;E4;E;E4;E;Bm;C#m;Dm;A;F#m;C#m;E4;E;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;A;F#m;C#m;E4;E;E4;E;F#;Bm;C#m;Dm;A;F#m;C#m;E4;E;E4;E;A;C#7;F#m
magic,no-way-no,A#,Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F;Gm;Cm;F;Dm;Gm;Cm;F
magic,rude,C#,Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm;Gb;Ab;Db;Bbm
maiara-maraisa,a-pessoa-errada,D,D;A;G;A;D;A;G;A;Bm;E;G;A7;A;Bm;E;G;A;D;A;Em;G;A;D;A;Em;G;A;D
maiara-maraisa,medo-bobo,A,D;E;F#m;A;D;E;F#m;A;D;E;F#m;A;D;E;F#m;A;D;D;E;F#m;A;D;D;E;F#m;A;D;E;F#m;A;D;D;E;F#m;A;D;E;F#m;A;D;D;E;F#m;A;D;D;E;F#m;A;D;E;F#m;A;D;D;E;F#m;A;D;E;F#m;A;D;E;F#m
maiara-maraisa,se-olha-no-espelho,C,C;Am;A7;Dm;G;C;Am;A/C#;Dm;Dm/C;G/B;G;C;Am;G;F;Em;Em;Dm;F;G;C;G;C;Am;Dm;F;G;C;Am;Dm;F;G
mamonas-assassinas,mundo-animal,A,E5;D5;E;E4;E;D;D5(9);A;A5(9);E;E4;E;D;D5(9);A;A5(9);E;E4;E;D;D5(9);D5(9);E;E4;E;D;D5(9);A;A5(9);E;E4;E;D;D5(9);A;A5(9);E;E4;E;D;D5(9);A;A5(9);A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E;D;A;E;D;A;E;D;A;E;D;A;E;D;A;E;D;A;E;D;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;A4;A;E5;D5;E5;D5;A
mamonas-assassinas,pelados-em-santos,D,D;Bm;G;A;D;Bm;G;A;D;Bm;G;A;D;Bm;G;A;D;Bm;G;A;D;Bm;G;A;A;G;F#;G;A;G;F#;G;A;G;F#;G;A;D;Bm;G;A;D;Bm;G;A;A;G;F#;G;A;G;F#;G;A;G;F#;G;A;D;Bm;G;A;D;Bm;G;A;D
mamonas-assassinas,robocop-gay,C,C;G;C;G;C;C;G;C;G;C;C;G;C;G;C5;C5;G5;A5;F5;C5;G5;A5;F5;C5;G5;A5;F5;C5;G5;A5;F5;C5;G5;A5;F5;C5;G5;A5;F5;C5
mamonas-assassinas,uma-arlinda-mulher,C,C9;Em7;F9;G;F9;Em7;F9;G;C9;Em7;F9;G;C9;Em7;F9;G;F5;E5;F5;G5;F5;E5;F5;G5;F5;E5;F5;G5
mamonas-assassinas,vira-vira-,E,E5;D#5;C#5;B5;B5;C#5;D#5;E5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;D#5;C#5;B5;B5;C#5;D#5;E5;E5;D#5;C#5;B5;B5;C#5;D#5;E5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;D#5;C#5;B5;B5;C#5;D#5;E5;E5;D#5;B5;B5;C#5;D#5;E5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;B5;E5;B5;E5;B5;E5;A5;B5;E5;D#5;C#5;B5
maneva,luz-que-me-traz-paz,F,Dm;Dm/C;Bb7M;Dm;Am;Dm;Am;Bb7M;Am;Bb7M;Am;Dm;Am;Dm;Am;Bb7M;Am;Bb7M;Eb7M;A7;Bb7M;Gm7;C7/9;Dm;Bb7M;Gm7;C7/9;Dm;Bb7M;Gm7;C7/9;Dm;Dm/C;Bb7M;Dm;Dm/C;Bb7M;Dm;Am;Dm;Am;Bb7M;Am;Bb7M;Am;Dm;Am;Dm;Am;Bb7M;Am;Bb7M;Eb7M;A7;Bb7M;Gm7;C7/9;Dm;Bb7M;Gm7;C7/9;Dm;Bb7M;Gm7;C7/9;Dm;Bb7M;Gm7;C7/9;Bb7M;Gm7;C7/9;Dm
maneva,pisando-descalco,G,Em;Bm7;Em;Bm7;Bm7;Bbm7;C;D;Em;C;D;Em;C;D;Em;C;D;Em;Em;Bm7;Em;Bm7;Bm7;Bbm7;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;Em;Bm7;Em;Bm7;Bm7;Bbm7;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;C;D;Em;Em;Bm7
maneva,saudades-do-tempo,G,Em7;Bm7;Am7;D;D#º;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em;Bm;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7;Bm7;Am7;D;Em7
manoela-gavassi,planos-impossiveis,D,D;D;A;Em;A;D;A;Em;A;D;A;Em;A;D;A;Em;G;A;D;D;A;Em;A;D;A;Em;A;E;D;A;Em;A;D;A;Em;G;A;D;Em;A;D;A;G;Em;A;D;A;G;Em;A;D;A;Em;A;D;A;Em;G;A;D;A;G;A;G;A;D
marcelo-jeneci,pra-sonhar,C,C;C;C;Dm;G;Dm;G;Em;Am;Dm;G;C;Dm;G;Dm;G;Em;Am;Dm;G;C7M;Dm7;G;C7M;Dm7;G;Em7;F7M;Em7;A7(4);Dm7;G;C7M;Bm7(4);E7;C7M;Bm7(4);E7;C;Dm;G;Dm;G;Em;Am;Dm;G;C;Dm;G;Dm;G;Em;Am;Dm;G;C7M;Dm7;G;C7M;Dm7;G;Em7;F7M;Em7;A7(4);Dm7;G;C7M;Dm7;G;C7M;Dm7;G;Em7;F7M;Em7;A7(4);Dm7;G;C7M;Bm7(4);E7;C7M;Bm7(4);E7;C
marchinhas-de-carnaval,aurora,C,C;Dm;G7;C;Dm;G7;C;Dm;E;G7;C;F;G7;C
marchinhas-de-carnaval,cabeleira-do-zeze,D,D;A7;D;A7;D;A7;D;D7;G;D;F#7;Bm;A7;D;E7;A7;D;G;A7;D;D;G;A7;D;A7
marchinhas-de-carnaval,cachaca,D,D;A;A7;D;D;B7;Em;A7;D;D;D7;G;D;A7;D
marchinhas-de-carnaval,jardineira,C,C;G7;C;G7;F;C;E;F;G7;C;F;G7;C;G7;C;G7;C
marchinhas-de-carnaval,mamae-eu-quero,D,D;D;Em;A7;D;A7;Em;A7;D;B7;Em;A7;D;D;Em;A7;D;A7;Em;A7;D;B7;Em;A7;D;D;Em;A7;D;A7
marchinhas-de-carnaval,me-da-um-dinheiro-ai,C,C;G7;C;G7;C;G7;C;C7;F;C;G7;C
marchinhas-de-carnaval,pegando-fogo,G,G/A;Bb7+;G/A;A;G/A;A;G/A;A7;Bb+;Gm7;G/A;D;B7/5+;Em7;A7;Em7;A7/5+;D7+;C7/9;B7;Em7;Fº;Gbm7;B7;E7;A7;D;Gb7;Bm7;G7+;Gbm7;Ebº;Em7;C7/9;D;Bm7;E7;A7;Gb7;Bm7;G7+;Gb7;Ebº;Em7;C7/9;D;Bm7;E7;A7
marcia-fellipe,ponto-de-partida,G#,Fm;C#;G#;D#;Fm;C#;D#;D7;G#;D#;Fm;C#;G#;D#;C7;Fm;C#;G#;D#;G#;D#;G#;D#;Fm;C#;G#;D#;C7;Fm;C#;G#;D#;G#;D#;G#;D#;Fm;C#;G#;D#;Fm;C#;A#m;D#;G#
marcos-antonio,pai,E,E;F#m;B;A;E;A;E;F#m;B;A;B;A;E;A;E;E4;E;A/E;E;E4;E;F#m;B;G#m7;C#m7;F#m7;B;E;A;E;A/E;E;A;E;A/E;E;F#m;B;G#m7;C#m7;F#m7;B;E;E;B/D#;C#m;B;E;B;G#;C#m;A;B;G#m7;C#m7;F#m7;B;E;E;F#m;B;A;E;A;E;F#m;B;A;B;A;E;A;E;E4;E;A;E;E4;E;F#m7;B;G#m7;C#m7;F#m7;B;E;A;E;A/E;E;E;E4;E;F#m;B;G#m;C#m;F#m;B;E;E;B/D#;C#m;B;E;B;G#;C#m;A;B;G#m7;C#m7;F#m7;B;E;E;F#m;B;A;E;A;E;F#m;B;A;B;A;E;A
marcos-belutti,aquele-1,C,Am;F9;C/E;G;E;Am;F9;C;G;E;Am;F9;C;G;E;Am;F9;C;G;E;Am;F;C;G;Am;F;C;G;E;Am;F;C;G;Am;F;C;G;E;Am;F;C;G;Am;F;C;E;Am;F;C;G;E;Am;F;C;G;E;Am;F;C;G;Am;F;C;G;E;Am;F;C;G;Am;F;C;E;Am;F;C;G;Am;F;C;G;E;Am;F;C;G;Am;F;C;G;E;Am;F;C;G;Am;F;C;G;Am
marcos-belutti,domingo-de-manha,C,C;Dm;F7M/C;C;C;Dm;F7M/C;C;C;Dm;F7M/C;C;C;Dm;F7M/C;C;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;C;Dm;F7M/C;C;G;C;Dm;F7M/C;C;C;Dm;F7M/C;C;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C;G;Dm;F7M/C;C
marcos-belutti,entao-foge,D,A9;G;F#m;Em;G;D9;A9;Em;G;D9;Em;G;D9;Em;G;D9;A9;Em;G;A9;Em;G;D9;A9;Em;G;D9;A9;Em;G;D9;A9;Em;G;D9;Em;G;D9;Em;G;D9;A9;Em;G;A9;Em;G;D9;A9;Em;G;D9;A9;Em;G;D9;A9;Em;G;D9;A9;Em;G;D9;A9;Em
